ID,站名,Horner(a),Horner(b),Horner(c),情境,0小時,1小時,2小時,3小時,4小時,5小時,6小時,合計百分比
467441,高雄,3823.735,29.198,0.672,100,0,7.84,12.4,44.85,18.64,9.52,6.75,100
467441,高雄,3823.735,29.198,0.672,150,0,11.76,18.6,67.28,27.96,14.28,10.13,100
467441,高雄,3823.735,29.198,0.672,200,0,15.68,24.8,89.7,37.28,19.04,13.5,100
467441,高雄,3823.735,29.198,0.672,250,0,19.6,31,112.13,46.6,23.8,16.88,100
467441,高雄,3823.735,29.198,0.672,300,0,23.52,37.2,134.55,55.92,28.56,20.25,100
467441,高雄,3823.735,29.198,0.672,350,0,27.44,43.4,156.98,65.24,33.32,23.63,100
467441,高雄,3823.735,29.198,0.672,400,0,31.36,49.6,179.4,74.56,38.08,27,100
467441,高雄,3823.735,29.198,0.672,450,0,35.28,55.8,201.83,83.88,42.84,30.38,100
467441,高雄,3823.735,29.198,0.672,500,0,39.2,62,224.25,93.2,47.6,33.75,100
C0V440,鳳山,24141.994,390.914,0.868,100,0,12.02,16.87,25.95,20.61,14.12,10.43,100
C0V440,鳳山,24141.994,390.914,0.868,150,0,18.03,25.31,38.93,30.92,21.18,15.65,100
C0V440,鳳山,24141.994,390.914,0.868,200,0,24.04,33.74,51.9,41.22,28.24,20.86,100
C0V440,鳳山,24141.994,390.914,0.868,250,0,30.05,42.18,64.88,51.53,35.3,26.08,100
C0V440,鳳山,24141.994,390.914,0.868,300,0,36.06,50.61,77.85,61.83,42.36,31.29,100
C0V440,鳳山,24141.994,390.914,0.868,350,0,42.07,59.05,90.83,72.14,49.42,36.51,100
C0V440,鳳山,24141.994,390.914,0.868,400,0,48.08,67.48,103.8,82.44,56.48,41.72,100
C0V440,鳳山,24141.994,390.914,0.868,450,0,54.09,75.92,116.78,92.75,63.54,46.94,100
C0V440,鳳山,24141.994,390.914,0.868,500,0,60.1,84.35,129.75,103.05,70.6,52.15,100
01P770,美濃(2),1488.414,50.842,0.548,100,0,10.3,14.67,34.17,19.74,11.98,9.14,100
01P770,美濃(2),1488.414,50.842,0.548,150,0,15.45,22.01,51.26,29.61,17.97,13.71,100
01P770,美濃(2),1488.414,50.842,0.548,200,0,20.6,29.34,68.34,39.48,23.96,18.28,100
01P770,美濃(2),1488.414,50.842,0.548,250,0,25.75,36.68,85.43,49.35,29.95,22.85,100
01P770,美濃(2),1488.414,50.842,0.548,300,0,30.9,44.01,102.51,59.22,35.94,27.42,100
01P770,美濃(2),1488.414,50.842,0.548,350,0,36.05,51.35,119.6,69.09,41.93,31.99,100
01P770,美濃(2),1488.414,50.842,0.548,400,0,41.2,58.68,136.68,78.96,47.92,36.56,100
01P770,美濃(2),1488.414,50.842,0.548,450,0,46.35,66.02,153.77,88.83,53.91,41.13,100
01P770,美濃(2),1488.414,50.842,0.548,500,0,51.5,73.35,170.85,98.7,59.9,45.7,100
