time	tide(m)
2021/7/30 18:00	0.46
2021/7/30 19:00	0.351
2021/7/30 20:00	0.302
2021/7/30 21:00	0.309
2021/7/30 22:00	0.391
2021/7/30 23:00	0.489
2021/7/31 00:00	0.616
2021/7/31 01:00	0.728
2021/7/31 02:00	0.798
2021/7/31 03:00	0.811
2021/7/31 04:00	0.793
2021/7/31 05:00	0.738
2021/7/31 06:00	0.675
2021/7/31 07:00	0.333
2021/7/31 08:00	0.456
2021/7/31 09:00	0.458
2021/7/31 10:00	0.485
2021/7/31 11:00	0.524
2021/7/31 12:00	0.605
2021/7/31 13:00	0.666
2021/7/31 14:00	0.727
2021/7/31 15:00	0.765
2021/7/31 16:00	0.736
2021/7/31 17:00	0.684
2021/7/31 18:00	0.616
2021/7/31 19:00	0.548
2021/7/31 20:00	0.478
2021/7/31 21:00	0.444
2021/7/31 22:00	0.449
2021/7/31 23:00	0.524
2021/8/1 00:00	0.662
2021/8/1 01:00	0.818
2021/8/1 02:00	0.921
2021/8/1 03:00	1.014
2021/8/1 04:00	1.021
2021/8/1 05:00	0.936
2021/8/1 06:00	0.837
2021/8/1 07:00	0.739
2021/8/1 08:00	0.641
2021/8/1 09:00	0.57
2021/8/1 10:00	0.534
2021/8/1 11:00	0.558
2021/8/1 12:00	0.605
2021/8/1 13:00	0.656
2021/8/1 14:00	0.732
2021/8/1 15:00	0.778
2021/8/1 16:00	0.797
2021/8/1 17:00	0.776
